小区,地址,房型,面积,朝向,层高,建造年份,单位面积价格,总价格,备注
滨江公园1号,于都红军大道贡江大道,3室2厅2卫,119.63㎡,南,高层(共32层),2017年建造,6980元/㎡,83.5万,滨江公园一号毛胚大三房诚意出售
于都黄金家园,于都贡江大道东思源大道,4室2厅2卫,105㎡,南北,低层(共19层),2018年建造,8553元/㎡,89.8万,贡江新区思源附近电梯精装四房
天乐花园,于都于都中学红军大道78-3号,4室2厅3卫,165㎡,南北,中层(共7层),2008年建造,5443元/㎡,89.8万,三中附近精装修拎包入住四房
丽水明珠A区,于都渡江大道古田中路,4室2厅2卫,137㎡,南北,高层(共8层),2010年建造,5957元/㎡,81.6万,丽水明珠附近精装四房诚意出售
丽水明珠A区,于都渡江大道古田中路,4室2厅2卫,142㎡,南北,中层(共8层),2010年建造,5986元/㎡,85万,于山中  附近精装四房拎包入住
翡翠湾二期,于都红军大道贡江大道501号,4室2厅2卫,125㎡,南北,中层(共32层),2020年建造,9344元/㎡,116.8万,翡翠湾一线江景四房送车位
领秀江南,于都贡江大道东楂林大道,2室2厅1卫,99㎡,南北,高层(共17层),2015年建造,6970元/㎡,69万,领秀江南江景两房精装修拎包入住
贡江壹号院,于都贡江大道东思源大道,4室2厅2卫,123㎡,南北,高层(共27层),2020年建造,9675元/㎡,119万,万达附近中梁贡江壹号院精装四房
丽水明珠A区,于都渡江大道古田中路,4室2厅2卫,137㎡,南,高层(共7层),2008年建造,6249元/㎡,85.6万,老二中丽水明珠旁 新装修大四房 三面采光 配套齐全
龙景嘉园,于都于山大道站前南路,3室2厅2卫,93㎡,南,中层(共7层),2015年建造,7398元/㎡,68.8万,龙景嘉园小区 精装3房新装修超大阳台送品牌家具
福熙城,于都渡江大道古田中路,3室2厅2卫,125㎡,南,中层(共25层),2016年建造,7840元/㎡,98万,于山附近福熙城小区 电梯三房精装修九成新
德福源小区,于都于山大道渡江大道,4室2厅2卫,128.17㎡,南北,中层(共7层),2009年建造,7015元/㎡,89.9万,明德  附近德福源小区精装四房
盛世豪庭,于都红军大道兴乐路,5室2厅2卫,152㎡,南北,中层(共32层),2018年建造,6829元/㎡,103.8万,三胎四胎  房源  正规大五房 北向望江景  方便看
天成名都,于都贡江大道东渡江南大道,4室2厅2卫,160.64㎡,东南,低层(共23层),2016年建造,6226元/㎡,100万,天成名都大小区园林江景房 大四房两厅两卫前后阳台
枫叶小区,于都渡江大道思源大道,4室2厅2卫,146㎡,南北,中层(共18层),2014年建造,7316元/㎡,106.8万,枫叶小区 于都地产的标杆 花园中心大四房
水岸新城一期(于都),于都渡江大道长征东路,4室2厅2卫,143.77㎡,南,低层(共7层),2008年建造,6038元/㎡,86.8万,水岸新城 四房两厅两卫毛坯新装修
汇金广场,于都渡江大道红旗大道,3室2厅2卫,120㎡,南,高层(共19层),2015年建造,7400元/㎡,88.8万,汇金广场一线江景电梯房 含泪抛售 140平
锦绣嘉园一期(于都),于都渡江大道滨江大道,3室2厅2卫,112.29㎡,南,中层(共8层),2008年建造,7107元/㎡,79.8万,锦绣嘉园大小区 精装3房南北通透三面采光
阳光水岸9号小区,于都于都中学滨江大道,4室2厅2卫,143.65㎡,南,低层(共7层),2008年建造,6043元/㎡,86.8万,江边小区阳光水岸 精装大四房 前后阳台
丽都豪苑,于都渡江大道长征大道,3室2厅2卫,128㎡,南,高层(共8层),2009年建造,6235元/㎡,79.8万,于山附近小区 三房精装修带柴间 九成新
于都黄金家园,于都贡江大道东思源大道,4室2厅2卫,110㎡,南,低层(共19层),2017年建造,8164元/㎡,89.8万,新区  家园小区，四房两厅两卫 毛坯新装修
佳兴花园,于都于山大道爱莲路372号,3室2厅2卫,124.5㎡,南北,中层(共7层),2011年建造,6908元/㎡,86万,长征广场附件  精装大三房 带17平车库 通风采光
博源榕景华庭,于都于都中学祝捷巷,4室2厅2卫,164.16㎡,南北,高层(共7层),2009年建造,6458元/㎡,106万,博源榕景华庭 超大户型 新装未入住送家具 城关  于都中学傍
枫叶小区,于都渡江大道思源大道,4室2厅2卫,146㎡,南北,中层(共18层),2014年建造,7398元/㎡,108万,枫叶小区电梯毛胚大四房诚意出售
