小区,地址,房型,面积,朝向,层高,建造年份,单位面积价格,总价格,备注
三科·凌雲台,宁都万润广场凌云大道166号,3室2厅2卫,108㎡,南北,5834元/㎡,63万,单价五千多买 新人民医院旁 东方丽都 奥园广场旁推荐新房
阳光都会,宁都万润广场广场路1号,4室2厅2卫,160.9㎡,南北,低层(共7层),4973元/㎡,80万,阳光都会4室2厅2卫好楼层边套高性价比高性价比
富丰家园,宁都万润广场翠岗路,2室2厅1卫,93㎡,南,低层(共18层),4517元/㎡,42万,富丰家园2室1厅1卫好楼层价格可谈诚心出售诚心出售诚心出售
上西路3号小区,宁都万润广场上西路3号,3室2厅2卫,135㎡,南,中层(共6层),4889元/㎡,66万,上西路3号小区3室2厅2卫好楼层高性价比价格可谈
君临天下豪庭,宁都万润广场凌云大道,4室2厅2卫,142.91㎡,南,高层(共6层),5165元/㎡,73.8万,君临天下豪庭4室2厅2卫诚心出售
宁都农机宿舍,宁都万润广场中山北路12号,5室3厅3卫,225㎡,南,高层(共7层),5689元/㎡,128万,5室3厅3卫天德铭扬复式。装修新。送露台送车库。价格可谈
红山岭小区,宁都万润广场博生西路,4室2厅2卫,150㎡,南,高层(共7层),3467元/㎡,52万,红山岭小区4室2厅2卫
京都豪庭,宁都万润广场登峰大道7号,3室2厅1卫,73㎡,南,高层(共8层),5466元/㎡,39.9万,京都豪庭3室2厅1卫一车库2016年装修入住诚心出售边套
翠盈家苑,宁都万润广场博生西路209号,3室2厅1卫,110㎡,南,高层(共7层),5364元/㎡,59万,翠盈家苑3室2厅1卫
宁都公路分局宿舍,宁都万润广场翠微东路18号,5室3厅2卫,247㎡,北,中层(共6层),4049元/㎡,100万,宁都5室3厅2卫三面采光，带地下室车库，价格可谈。
翠微西路55号小区,宁都万润广场翠微西路55号,3室2厅1卫,145.67㎡,南北,中层(共7层),3982元/㎡,58万,捡漏捡漏啦，白菜价，每平米不到4000元
红岭小区,宁都万润广场河东路29号,5室2厅2卫,170.9㎡,南,低层(共7层),3453元/㎡,59万,红岭小区5室2厅2卫宽大，价格可谈
京都豪庭,宁都万润广场登峰大道7号,3室2厅1卫,73㎡,南,高层(共8层),5466元/㎡,39.9万,京都豪庭3室2厅1卫一车库2016年装修入住边套诚心出售
