小区,地址,房型,面积,朝向,层高,建造年份,单位面积价格,总价格,备注
瑞金太阳城,瑞金国际商贸中心绵江北路,4室2厅2卫,147.18㎡,南北,高层(共8层),8018元/㎡,118万,瑞金太阳城4室2厅2卫
豪门新城,瑞金惠民广场金都大道,3室2厅2卫,97㎡,南北,高层(共17层),7151元/㎡,69.4万,豪门新城3室2厅2卫好楼层一梯两户价格可谈诚心出售
京里中央大街,瑞金万合广场京里街,15室0厅0卫,258㎡,东,低层(共6层),5388元/㎡,139万,京里中央大街15室0厅0卫
锦江名城峰景,瑞金沿江路红都大道2号,3室2厅1卫,100㎡,南,地下(共16层),6860元/㎡,68.6万,锦江名城峰景3室2厅1卫
锦绣花园,瑞金惠民广场中山南路,3室2厅2卫,137.24㎡,南北,中层(共6层),5684元/㎡,78万,锦绣花园3室2厅2卫
国滨中央城,瑞金沿江路金都大道,3室2厅2卫,135.73㎡,南,低层(共18层),7353元/㎡,99.8万,国滨中央城3室2厅2卫
锦江名城,瑞金沿江路绵江路,3室2厅1卫,92.81㎡,南北,高层(共10层),6358元/㎡,59万,锦江名城3室2厅1卫好楼层边套一梯两户高性价比价格可谈
金城一品,瑞金龙珠路胜利大道,4室2厅2卫,114㎡,东,低层(共11层),6579元/㎡,75万,金城一品4室2厅2卫
凯鸿和园,瑞金沿江路金都大道,3室2厅2卫,134.5㎡,南,高层(共18层),5651元/㎡,76万,外地发展，78万复式楼，      ，红本在手，无抵押！
嘉联芙蓉新城(瑞金),瑞金七里段红都大道,3室2厅2卫,125㎡,南,高层(共6层),5200元/㎡,65万,嘉联芙蓉新城(瑞金)3室2厅2卫，高性价比价格可谈诚心出售
锦绣花园,瑞金惠民广场中山南路,3室2厅2卫,127.17㎡,南,中层(共6层),5505元/㎡,70万,锦绣花园3室2厅2卫
锦绣花园,瑞金惠民广场中山南路,2室2厅1卫,90㎡,南,高层(共7层),5756元/㎡,51.8万,锦绣花园2室2厅1卫
国滨中央城,瑞金沿江路金都大道,3室2厅2卫,135.73㎡,南,低层(共18层),7353元/㎡,99.8万,国滨中央城3室2厅2卫
瑞金太阳城,瑞金国际商贸中心绵江北路,4室2厅2卫,120㎡,南北,低层(共17层),2020年建造,7167元/㎡,86万,城北太阳城带车位4房 精装修拎包入住 厅带阳台朝南
恒兴颐和园,瑞金惠民广场七彩大道,7室4厅4卫,350㎡,南北,共4层,2019年建造,6000元/㎡,210万,瑞金高档别墅区 联排别墅 私家花园 小区安静好停车
红都象湖新城一期,瑞金七里段红都大道,2室2厅1卫,70㎡,南北,高层(共18层),2020年建造,6858元/㎡,48万,红都象湖新城一期 2室2厅 南北通透 电梯房 70平 楼层好
锦江名城,瑞金沿江路绵江路,4室2厅2卫,140㎡,南北,高层(共10层),2019年建造,6358元/㎡,89万,江景房锦江名城电梯大四房 南北通透 位置中心 随时可看房
盛世佳苑,瑞金时光广场绵水路336号,3室2厅2卫,134㎡,南北,高层(共7层),2012年建造,5359元/㎡,71.8万,时代广场盛世佳苑带车库精装修大三房 前后双阳台 错层设计
瑞金香格里拉,瑞金龙珠路胜利大道,7室3厅4卫,275㎡,南北,共4层,2018年建造,5455元/㎡,150万,香格里拉联排别墅社区 私家车库与地下室 独立花园
东投大名府,瑞金七里段东升街,4室2厅2卫,133㎡,南北,中层(共18层),2021年建造,7143元/㎡,95万,七彩文化广场附近   旁园林小区 电梯中层臻美4房户型
豪门新城,瑞金惠民广场金都大道,4室2厅2卫,130㎡,南北,高层(共25层),2019年建造,6539元/㎡,85万,红井教育园区新小区电梯中层大四房       南北通透
红都象湖新城二期,瑞金七里段金都大道,3室2厅2卫,128㎡,南北,低层(共30层),2020年建造,5157元/㎡,66万,白面坝电梯3房 位置中心 电梯中层三房仅售66万 厅带阳台南
锦绣东方,瑞金万合广场金三路,2室1厅1卫,47㎡,南,中层(共22层),2019年建造,6809元/㎡,32万,锦绣东方小两房 单身入住   电梯中层 卧室带阳台
港龙上宾首府,瑞金文化广场金都大道,3室2厅2卫,105㎡,南北,低层(共30层),2016年建造,7143元/㎡,75万,思源  文化广场附近上宾 首 府三房精装修仅售75万
洪瑞苑,瑞金万合广场红都大道222号,3室2厅2卫,126㎡,南北,中层(共7层),2010年建造,5461元/㎡,68.8万,金都  旁 锦绣东方附近小区 带杂间3房 一梯两户
闽鸿棕蓝海,瑞金七里段红都大道,3室2厅2卫,90.31㎡,南,高层(共7层),5515元/㎡,49.8万,闽鸿棕蓝海3室2厅2卫、高性价比、一梯两户、价格可谈
闽鸿棕蓝海,瑞金七里段红都大道,3室2厅2卫,127㎡,东西,低层(共12层),5434元/㎡,69万,闽鸿棕蓝海一梯两户一梯两户高性价比
