小区,地址,房型,面积,朝向,层高,建造年份,单位面积价格,总价格,备注
华润万橡府,赣县城北大道狮子岩大道,4室2厅2卫,139.6㎡,南北,低层(共11层),2020年建造,8095元/㎡,113万,华润万橡府电梯洋房 四房两厅两卫 带一个小露台 满二
联发君悦华府,赣县好又多广场狮子岩大道,3室2厅2卫,116㎡,南北,高层(共34层),2018年建造,6466元/㎡,75万,联发君悦华府 南北通透3房带大阳台 满2 景观好
源盛公园里,赣县城北大道赣县区,4室2厅2卫,142㎡,南,低层(共33层),2020年建造,9085元/㎡,129万,源盛公园里精装大四房边套！
光彩大市场,赣县光彩大道创维东路48号,3室2厅1卫,117㎡,南北,中层(共7层),1999年建造,4958元/㎡,58万,光彩小区房 精装大3房  楼梯中间层 保养好带柴间
保利嘉福领秀山,赣县城北大道旭初路,3室2厅2卫,108㎡,南北,中层(共27层),2018年建造,9167元/㎡,99万,保利嘉福领秀山，精装修未入住，三房两厅两卫推荐新房
源盛公园里,赣县城北大道赣县区,4室2厅2卫,128㎡,南北,中层(共28层),2019年建造,7735元/㎡,99万,急售，城北小区大4房  好楼层，小绿化好，环境优美
贡江学府,赣县城南大道梅林大街10号,3室2厅2卫,119㎡,南,高层(共29层),2020年建造,7303元/㎡,86.9万,贡江   大三房两厅两卫 电梯房高层 不是顶楼 采光非常好
源盛公园里,赣县城北大道赣县区,4室2厅2卫,142㎡,南,高层(共33层),2020年建造,8310元/㎡,118万,小区中心位置，南北双阳台，三面采光，视野开阔
源盛公园里,赣县城北大道赣县区,4室2厅2卫,128.42㎡,南北,中层(共33层),2019年建造,7476元/㎡,96万,单价七千多 置业城北公园里 电梯四房
保利嘉福领秀山,赣县城北大道旭初路,3室2厅2卫,125㎡,南,中层(共25层),2021年建造,9600元/㎡,120万,急售，豪华装修未入住，大三房边套，南北通透，推荐新房
金科集美公馆,"赣县贡江大道西梅林大街,近章贡路",4室2厅2卫,122㎡,南,高层(共10层),2019年建造,9673元/㎡,118万,金科洋房中层带车位，户型方正四房
保利嘉福领秀山,赣县城北大道旭初路,3室2厅2卫,108.26㎡,南北,中层(共33层),2020年建造,9219元/㎡,99.8万,保利小区精装修未入住  3房2厅2卫   直接入住推荐新房
源盛公园里,赣县城北大道赣县区,4室2厅2卫,142.13㎡,南,中层(共33层),2020年建造,8092元/㎡,115万,坐在家里就可以看到公园的边套大四房，它不香吗
嘉福原山著,赣县城北大道城北大道,4室2厅2卫,142㎡,南北,高层(共34层),2019年建造,6902元/㎡,98万,急售   税满二  边套大4房  南北通透，采光好
华润万橡府,赣县城北大道狮子岩大道,5室2厅2卫,143㎡,南,中层(共25层),2021年建造,7483元/㎡,107万,央企南北通透，正规五房报价107万，小区物业好
嘉福原山著,赣县城北大道城北大道,4室2厅2卫,142㎡,南,低层(共28层),2020年建造,6268元/㎡,89万,亏本急售！89万购嘉福四房，随时看房！
保利嘉福领秀山,赣县城北大道旭初路,3室2厅2卫,108㎡,南,中层(共30层),2021年建造,9167元/㎡,99万,急售，电梯房中层，全新装修带家具家电，拎包入住推荐新房
贡江上院,赣县杨仙大道杨仙大道66号,4室2厅2卫,169㎡,南,高层(共18层),2015年建造,8758元/㎡,148万,城南一线江景房  带露台  南北通透 电梯中间楼层
华晨彩虹城一期,赣县梅林大街章贡路12号,3室2厅2卫,121㎡,南,中层(共18层),2014年建造,8678元/㎡,105万,城南中心地段 四小旁边 南北通透 三面采光
贡江学府,赣县城南大道梅林大街10号,3室2厅2卫,120㎡,南北,高层(共27层),2020年建造,7659元/㎡,91.9万,四中四小 贡江  中层 大三房两厅两卫边套采光好
榕玺台,赣县好又多广场杨仙大道,3室2厅2卫,110㎡,南北,中层(共30层),2020年建造,8800元/㎡,96.8万,急售 捡漏 高端小区榕玺台三房两厅两卫 可看江景
