小区,地址,房型,面积,朝向,层高,建造年份,单位面积价格,总价格,备注
嘉福尚江府,章贡章江北大道东江源大道,3室2厅2卫,120.63㎡,南,高层(共33层),2021年建造,14756元/㎡,178万,景观  业主大上海买豪宅，急售180万
银天小区,章贡八一四大道八一四大道54号,3室2厅2卫,100㎡,南北,低层(共6层),1998年建造,5900元/㎡,59万,巨亿广场旁精装三房，有小区好停车，  楼层
天华御景苑,章贡章江北大道杨公路11号,3室2厅2卫,150㎡,南北,中层(共16层),2010年建造,7867元/㎡,118万,实拍捡漏精装通透电梯3房，滨江二尛铭俯刷卡入户，采光足好停车
武学巷2号住宅,章贡厚德路武学巷2号,3室2厅2卫,110㎡,南北,高层(共7层),2000年建造,6273元/㎡,69万,急售 文清路精装正规3房 南北通透户型方正采光好
中环中央城B区,章贡中央公园绵江路21号,4室2厅3卫,121㎡,南,低层(共26层),2017年建造,11240元/㎡,136万,万象城 通透大四房  零公摊  急售136万
华谊城,章贡文明大道文明大道19号,3室2厅2卫,95㎡,南,高层(共25层),2017年建造,9474元/㎡,90万,华谊城精装3房视野开阔，2015年小区大阳台红旗二校配套全
文明大道127号小区,章贡西桥路文明大道127号,3室2厅2卫,100㎡,南,高层(共7层),2000年建造,5980元/㎡,59.8万,三康庙周边文明大道社区精装三房业主急售！
南阳东升,章贡渡口路渡口路7号,4室2厅2卫,164㎡,南,低层(共11层),2010年建造,7196元/㎡,118万,南阳东升电梯四房，南北通透采光好，双阳台，拎包入住小区好停车
联泰天璞,章贡蓉江新区105国道,3室2厅1卫,98㎡,南北,高层(共32层),2021年建造,11939元/㎡,117万,一线江景毛坯三房，联泰天璞中高楼层， 采光佳视野棒，满二年
三康庙社区,章贡三康庙西郊路18号,3室2厅1卫,75㎡,南北,高层(共6层),1995年建造,6400元/㎡,48万,三康庙精装三房 有柴间 大型小区 好停车 好充电 采光好
联泰天璞,章贡蓉江新区105国道,3室2厅2卫,96㎡,南,高层(共28层),2018年建造,14459元/㎡,138.8万,一线江景 联泰天璞 全新精装未入住 带露台 性价比高 随时看
和源公寓,章贡文清路南京路19号,1室2厅1卫,53㎡,南,中层(共10层),1993年建造,5284元/㎡,28万,老城区 电梯房 精装1房2厅1卫 产光极好 赣州公园对面
金坪花园,章贡黄屋坪路黄屋坪路26号,3室2厅2卫,128㎡,南北,中层(共7层),2004年建造,6719元/㎡,86万,金坪花园 全新精装 3室2厅 南北通透 户型方正 好停车
春江花月C区,章贡三康庙章江北大道142号,3室2厅1卫,85㎡,南北,中层(共8层),2011年建造,8589元/㎡,73万,西郊路全新小区，低楼层，非常好停车
联泰天璞,章贡蓉江新区105国道,3室2厅2卫,113㎡,南,高层(共27层),2020年建造,11682元/㎡,132万,联泰天璞 全新装修 江景三房 视野开阔 急售132万
黄屋坪路14号小区,章贡黄屋坪路黄屋坪路14号,4室2厅2卫,120㎡,南北,低层(共7层),1998年建造,7250元/㎡,87万,黄屋坪大型小区有柴间 户型方正南北通透 车位非常多
保利联发康桥,章贡蓉江新区兴国路,3室2厅2卫,127㎡,南北,低层(共32层),2020年建造,14331元/㎡,182万,业主自装，保利康桥精装修3房，看小区园景，临江大社区
黄屋坪19号住宅小区,章贡黄屋坪路黄屋坪路19号,4室2厅2卫,110㎡,南,高层(共7层),1995年建造,6000元/㎡,66万,南门口商圈 红旗大道 黄屋坪精装4房2厅2卫仅66万
西郊路7号小区,章贡三康庙西郊路7号,3室2厅2卫,119㎡,南北,中层(共7层),1998年建造,5715元/㎡,68万,临江小区 大客厅 大阳台 全新装修 拎包入住 好停车
二六四建国路生活小区,章贡文清路建国路3号,3室2厅1卫,74.82㎡,东南,中层(共6层),1992年建造,7204元/㎡,53.9万,精装三房 郁孤台文化生活圈 一步之路天天体验宋城文化生活
文明大道129-138号小区,章贡杨公路文明大道129-138号,4室2厅2卫,105㎡,南,中层(共6层),2000年建造,6096元/㎡,64万,房东急售！大润发文明大道附近！总价低大四房两卫！南北通透
黄屋坪路14号小区,章贡黄屋坪路黄屋坪路14号,4室2厅2卫,140㎡,南北,低层(共7层),1998年建造,6250元/㎡,87.5万,要低楼层的看过来，超大小区相当好停车，头排视野无遮挡，
文明大道129-138号小区,章贡杨公路文明大道129-138号,3室2厅1卫,90㎡,南北,高层(共7层),1996年建造,6112元/㎡,55万,渔湾里滨江二小 精装三房 住家安静 出门繁华 好停车好晒太阳
八一四大道33号小区,章贡八一四大道京九路,3室2厅1卫,80㎡,南北,中层(共6层),1990年建造,5625元/㎡,45万,八一四大道 汽车站对面正规三房 三开间朝南 可按揭
琳轩花园,章贡红旗大道红旗大道12号,3室2厅1卫,90㎡,南北,高层(共7层),1995年建造,5334元/㎡,48万,红旗大道精装三房，带个柴火间南北通透绿化好
西郊路7号小区,章贡三康庙西郊路7号,3室2厅2卫,119㎡,南北,中层(共7层),1998年建造,5715元/㎡,68万,临江小区 大客厅 大阳台 全新装修 拎包入住 好停车
星光华城,章贡黄屋坪路章贡黄屋坪1号,4室2厅2卫,133㎡,南,低层(共18层),2007年建造,8722元/㎡,116万,大润发商圈小区好停车 送露台 送茶室 超值电梯精装大四房
稼轩花园,章贡章江北大道东阳山路52号,3室2厅1卫,110㎡,南北,中层(共7层),1997年建造,6182元/㎡,68万,稼轩路精装三房 气压机单位房 出门就是江边 有小区停车方便
金果小区,章贡文明大道文明大道57号,4室2厅2卫,122㎡,南北,低层(共7层),1994年建造,5640元/㎡,68.8万,南门口赣电南苑旁精装修四房两厅两卫122平方68万柴间可停车
滨江爱丁堡(一期),章贡章江北大道章江北大道,4室2厅2卫,143㎡,南北,中层(共7层),2008年建造,8532元/㎡,122万,爱丁堡 豪华装修 拎包入住 4房2厅2卫 江边小区 环境优美
人民巷38号小区,章贡厚德路人民巷38号,3室2厅1卫,82㎡,南北,高层(共7层),1992年建造,6464元/㎡,53万,人民巷 带大露台 全新精装3房2厅1卫 产光极好 生活便利
保利联发康桥,章贡蓉江新区兴国路,4室2厅2卫,142㎡,南北,低层(共32层),2019年建造,15846元/㎡,225万,滨江F4 保利联发康桥 精装通透四房 东边套 带产权车位
东胜山大院,章贡八一四大道东胜山路50-62号,4室2厅2卫,85㎡,南北,高层(共7层),1992年建造,6236元/㎡,53万,东胜山大院 中间楼层采光好 双卫格局 板楼 小区停车方便
八一四大道18号小区,章贡张家围八一四大道18号,3室2厅1卫,80㎡,南,低层(共6层),1989年建造,5850元/㎡,46.8万,正规三房户型方正双阳台 可按揭 中层采光好 小区正在改造中
保利联发康桥,章贡蓉江新区兴国路,3室2厅1卫,92㎡,南北,低层(共32层),2020年建造,16196元/㎡,149万,拎包即住，全景VR看房，保利康桥精装3房，看小区园景
海会路2-5号小区,章贡东桥路海会路2-5号,3室2厅1卫,75㎡,南北,高层(共6层),1996年建造,5067元/㎡,38万,厚德路三房 有院子好停车 总价低可商贷 看房方便
健康路35号小区,章贡健康路健康路35号,3室2厅2卫,90㎡,南北,中层(共6层),1998年建造,5778元/㎡,52万,健康路四钟旁 三房两卫 车位充足 可按揭 看房方便
赣州卫生学校家属区,章贡张家围八一四大道,3室2厅1卫,85㎡,南,中层(共6层),1996年建造,5412元/㎡,46万,赣州火车站正前面，江边大三房，送柴间
滨江爱丁堡(一期),章贡章江北大道章江北大道,4室2厅2卫,143㎡,南北,中层(共7层),2010年建造,9021元/㎡,129万,全新豪华装修四房未入住 爱丁堡 捡漏四房 性价比高 零公摊
富力现代城,章贡蓉江新区武陵大桥,3室2厅1卫,105㎡,南北,中层(共32层),2022年建造,13334元/㎡,140万,捡漏了富力城 精装三房未入住 带加长版阳台 采光视野好
蔚蓝半岛(中区),章贡章江北大道章江北大道118号,3室2厅2卫,143㎡,东,高层(共13层),2012年建造,9511元/㎡,136万,婚房未入住 一线江景 征信不好退单重新出售 楼层视野杠杠滴
68号花园,章贡张家围八一四大道68号,3室2厅2卫,132㎡,南北,中层(共7层),2008年建造,6667元/㎡,88万,恒大名都旁电梯房精装修三房两厅两卫南北通透可直接拎包入住
赣一中教职工宿舍,章贡厚德路东胜山路10号,4室2厅1卫,120㎡,南北,中层(共6层),2000年建造,5667元/㎡,68万,东胜山精装四房 赠送柴火间 中间楼层 有院子 好停车
万新集团商住楼小区,章贡文清路八一四大道39号,4室2厅2卫,131㎡,南北,中层(共7层),2001年建造,6336元/㎡,83万,814大道沃尔顿酒店旁全新装修正规4房中间楼层采光好
文明大道120号小区,章贡三康庙文明大道120号,4室2厅2卫,110㎡,南北,高层(共6层),1997年建造,6000元/㎡,66万,首期13个W 三康庙大润发隔壁四房两卫 配套齐全
东城国际北区,章贡八一四大道拜将台路,4室2厅2卫,113㎡,南北,中层(共11层),2018年建造,10000元/㎡,113万,急售 电梯精装4房 小高层有地下室停车场
联泰天璞,章贡蓉江新区105国道,4室2厅2卫,135㎡,南北,低层(共30层),2020年建造,11852元/㎡,160万,真实在售 联泰天璞 毛坯通透四房 东边套急售160万
第五大道铂峯,章贡中央公园琴江路6号,4室2厅2卫,140㎡,南北,中层(共33层),2020年建造,13715元/㎡,192万,章江新区 万象城 章江路   大阳台 使用面积大
二六四建国路生活小区,章贡文清路建国路3号,2室1厅1卫,50㎡,南北,中层(共6层),1991年建造,5800元/㎡,29万,文清路正规两房 总价低可按揭 有院子停车
马扎巷32号小区,章贡西郊路马扎巷32号,3室2厅1卫,94㎡,南北,高层(共6层),1996年建造,6171元/㎡,58万,正规三房 全新装修 郁孤台文清路商圈 南北通透 户型方正
联泰天璞,章贡蓉江新区105国道,4室2厅2卫,168㎡,南,低层(共6层),2019年建造,12500元/㎡,210万,急售房源房东顶不住了亏本卖 168平花园洋房还送两产权车位
厚德路社区,章贡厚德路健康路,4室2厅2卫,160㎡,南,中层(共7层),1998年建造,5750元/㎡,92万,厚德路 地段繁华 全新精装 4室2厅 南北通透 户型方正
恒大帝景珑珺苑,章贡蓉江新区牡丹亭路8号,3室2厅2卫,140㎡,南,高层(共7层),2020年建造,16072元/㎡,225万,恒大帝景珑郡苑洋房  大三房 两卫   性价比
文明大道129-138号小区,章贡杨公路文明大道129-138号,4室2厅2卫,102㎡,南,中层(共7层),1997年建造,6667元/㎡,68万,大润发商圈 全新精装 4室2厅2卫 南北通透 繁华地段
保利联发康桥,章贡蓉江新区兴国路,4室2厅2卫,171㎡,南,中层(共11层),2021年建造,18012元/㎡,308万,江景大平层 章江新区经开区 保利联发康桥 大4房 随时看房
