小区,地址,房型,面积,朝向,层高,建造年份,单位面积价格,总价格,备注
锦辉佳苑,站北五洲大道五洲大道9号,3室2厅1卫,108㎡,南北,高层(共12层),2008年建造,8889元/㎡,96万,火车站附近 锦辉佳苑 正规3房 全新精装   楼层
五龙桂园庆美苑,站北沙河大道画眉垅路4号,3室2厅2卫,86㎡,南北,高层(共18层),2015年建造,6280元/㎡,54万,电梯复式湖景三房 五龙客家风情园旁 正常层高不压抑
五洲花苑,站北五洲大道五洲大道1号,4室2厅2卫,146㎡,南北,高层(共10层),2008年建造,7727元/㎡,112.8万,火车站旁看江景电梯精装修四房两厅两卫146平方112万
滨江相府,站北站前路逸豪大道3号,3室2厅3卫,106㎡,南北,低层(共18层),2010年建造,9906元/㎡,105万,一线江景，复试两层6米层高，拎包入住，还有固定车位
五龙桂园庆美苑,站北沙河大道画眉垅路4号,3室2厅2卫,86㎡,南,高层(共18层),2015年建造,6280元/㎡,54万,54万买赣州电梯湖景复式三房两卫，小区环境优美 视野非常好
龙湾佳园(西区),站北五洲大道五洲大道19号,3室2厅1卫,63㎡,南北,中层(共11层),2005年建造,9207元/㎡,58万,急售 火车站旁 电梯精装3房 楼层好小区好停车采光好
广贸中心商厦,站北五洲大道康定路1号,3室2厅1卫,110㎡,南北,中层(共6层),1996年建造,5910元/㎡,65万,贸易广场旁精装三房带露台 户型方正 中间楼层 南北通透
龙湾佳园(西区),站北五洲大道五洲大道19号,3室2厅1卫,63㎡,南北,中层(共11层),2004年建造,9207元/㎡,58万,龙湾佳园电梯 精装三房 户型方正，南北通透 中间楼层，采光好
龙湾佳园(西区),站北五洲大道五洲大道19号,3室2厅1卫,63㎡,南北,低层(共19层),2006年建造,9366元/㎡,59万,五洲大道精装电梯三房，有小区好停车
龙湾佳园(西区),站北五洲大道五洲大道19号,3室2厅1卫,63㎡,南北,高层(共8层),2004年建造,9366元/㎡,59万,火车站精装电梯中层三房，有小区好停车全新未入住通透户型。
