小区,地址,房型,面积,朝向,层高,建造年份,单位面积价格,总价格,备注
红星中央广场,南康广场天街赣南大道,3室2厅2卫,115㎡,南北,低层(共33层),2022年建造,7809元/㎡,89.8万,红星精装3房2厅2卫 爱琴海旁 拎包入住 高性价比
珑玺湾,南康迎宾中大道金赣北大道,3室2厅2卫,89㎡,南,中层(共26层),2021年建造,9956元/㎡,88.6万,珑玺湾精装修大三房两厅 南北通透户型方正 小区环境好北校门口
珑玺湾,南康迎宾中大道金赣北大道,3室2厅2卫,89㎡,南,低层(共31层),2021年建造,9394元/㎡,83.6万,康中北   珑玺湾 精装3房2厅 电梯好楼层采光好
珑玺湾,南康迎宾中大道金赣北大道,3室2厅2卫,99.49㎡,南北,高层(共26层),2020年建造,6232元/㎡,62万,捡漏价 有车位可谈 家居小镇旁 康中边 温馨小三房
美的爱康公园天下,南康工业大道赣南大道,4室2厅2卫,128㎡,南,高层(共33层),2022年建造,8516元/㎡,109万,美的公园天下 江景四房 凤凰层 南北通透 视野开阔采光好
恒大江湾,南康广场天街金赣北大道,5室2厅2卫,135㎡,南北,高层(共19层),2021年建造,7186元/㎡,97万,江湾旁  江景美宅 电梯中层 七米大阳台
红星中央广场,南康广场天街赣南大道,3室2厅2卫,96㎡,南,低层(共33层),2021年建造,6875元/㎡,66万,家居小镇十二小 红星中央广场毛坯3房2厅急售
珑玺湾,南康迎宾中大道金赣北大道,3室2厅2卫,99㎡,南,低层(共26层),2021年建造,9071元/㎡,89.8万,珑玺湾精装修 三房两厅 环境好 人车分流 北  门口交通方便
美的爱康公园天下,南康工业大道赣南大道,3室2厅2卫,89㎡,南,高层(共33层),2020年建造,7529元/㎡,67万,爱琴海购物广场十二小 十二中美的公园天下毛坯3房2厅急售
红星中央广场,南康广场天街赣南大道,3室2厅2卫,112.22㎡,南北,中层(共42层),2022年建造,7575元/㎡,85万,爱情海旁 毛坯三房 买来即可装修 诚售
珑玺湾,南康迎宾中大道金赣北大道,4室2厅2卫,130㎡,南北,低层(共24层),2019年建造,6447元/㎡,83.8万,珑玺湾源直接过户 家具小镇刊江大南北通透四房 送人防车位一个推荐新房
珑玺湾,南康迎宾中大道金赣北大道,4室2厅2卫,129㎡,南北,高层(共26层),2022年建造,6900元/㎡,89万,一线江景房 直接过户 还送人防车位 紧邻4A景区家具小镇
珑玺湾,南康迎宾中大道金赣北大道,3室2厅2卫,89㎡,南,低层(共32层),2022年建造,8967元/㎡,79.8万,珑玺湾 精装三房两厅两卫 好楼层 采光通风好 紧邻家居小镇
